MessageId,Actual,Predicted,Probability
0,0,0,0.008129062003932803
1,0,0,0.007713410284341606
2,1,1,0.9997661671445242
3,0,0,0.007720884787102359
4,0,0,0.0077413590165217
5,1,1,0.9409582627189329
6,0,0,0.009076256734881293
7,0,0,0.010479241267612292
8,1,1,0.9997969395627039
9,1,1,0.9996930388113687
10,0,0,0.007238924154395148
11,1,1,0.99981319717493
12,1,1,0.9998266681199015
13,0,0,0.008083498630437693
14,0,0,0.012601526295639444
15,1,1,0.998574734417813
16,0,0,0.007534134744518321
17,0,0,0.007851964619996548
18,0,0,0.007509143071233785
19,1,1,0.9975771376699468
20,0,0,0.012346016691051821
21,0,0,0.008560932045321453
22,0,0,0.007556519637322428
23,0,0,0.007364775221941774
24,0,0,0.008234084338269887
25,0,0,0.007723149579692865
26,0,0,0.009456893732147538
27,0,0,0.007327888740152788
28,0,0,0.007323687241729127
29,0,0,0.007489054039594441
30,0,0,0.008515582831789156
31,0,0,0.009264285649048047
32,0,0,0.0093963732527432
33,0,0,0.011319843819191953
34,1,1,0.9987829881122181
35,0,0,0.007939961586476254
36,0,0,0.007614653394869674
37,0,0,0.009320431859668087
38,0,0,0.008112984594060282
39,0,0,0.008217521264485491
40,0,0,0.007817918392638885
41,0,0,0.007862358637696253
42,1,1,0.9996741288500366
43,0,0,0.010652550918796268
44,0,0,0.007285852394002301
45,0,0,0.021847672824480555
46,0,0,0.011230299345090818
47,0,0,0.009148029982228951
48,0,0,0.0075076119268439245
49,0,0,0.009175510714296635
50,0,0,0.008403233159107515
51,0,0,0.0075689148533940945
52,0,0,0.007586810275710803
53,0,0,0.007386462458020526
54,1,1,0.9859291492942359
55,0,0,0.007600093740775525
56,1,1,0.9961517067002387
57,0,0,0.0071358702246154156
58,0,0,0.008932576643607514
59,0,0,0.014587934779916904
60,0,0,0.007488635989490682
61,0,0,0.009924910350999185
62,0,0,0.010680551392992337
63,0,0,0.007355586068595854
64,0,0,0.007329972055066092
65,1,1,0.9996814966134069
66,0,0,0.011390079707503269
67,1,1,0.9997695261319942
68,1,0,0.0899340371020099
69,0,0,0.01375059174694312
70,0,0,0.009640933774189989
71,0,0,0.008170149129025308
72,0,0,0.008251988601959047
73,0,0,0.00991527480775971
74,0,0,0.02187552287939134
75,0,0,0.023425792839048484
76,0,0,0.008292888991597327
77,0,0,0.00992975309706347
78,0,0,0.0076107331837219
79,0,0,0.010044070926522632
80,0,0,0.007134220443911714
81,0,0,0.0075906147177776054
82,0,0,0.007229039989943937
83,0,0,0.008183498734387309
84,0,0,0.023598824749511842
85,0,0,0.011728746700759653
86,0,0,0.009550919546377446
87,0,0,0.010354616275162338
88,0,0,0.007610886257482238
89,0,0,0.010236790978828098
90,0,0,0.007404133339788938
91,0,0,0.007328452081103915
92,0,0,0.008083720865561299
93,1,1,0.9998130572191031
94,0,0,0.007285624785893997
95,1,1,0.999543172814758
96,0,0,0.007767385762731224
97,0,0,0.00966165018164466
98,0,0,0.007362211689116703
99,0,0,0.020157516688991104
100,0,0,0.009500081000094415
101,0,0,0.009518688650667715
102,0,0,0.008117632539627289
103,0,0,0.010479241267612292
104,0,0,0.00834980134140943
105,0,0,0.008041350315097185
106,0,0,0.009023558815497124
107,0,0,0.009396975314500412
108,0,0,0.01190757826782681
109,0,0,0.008860730596960032
110,0,0,0.008182525520392454
111,0,0,0.01844576025086974
112,0,0,0.008263992097802344
113,0,0,0.007396761098460479
114,1,1,0.999814822001296
115,0,0,0.008681043248998235
116,0,0,0.007548080136023141
117,1,1,0.9997905446873823
118,0,0,0.011794817655907208
119,0,0,0.007788753402641793
120,1,1,0.9997662713104438
121,1,1,0.9998114890086086
122,0,0,0.02232481970038155
123,1,1,0.9997355267578033
124,0,0,0.0096506051078139
125,0,0,0.007459275383265095
126,0,0,0.007857062625638218
127,0,0,0.008858242665750873
128,0,0,0.008950438203534309
129,0,0,0.008258349157675279
130,0,0,0.021775488481292484
131,0,0,0.007554097101453434
132,0,0,0.01092525080229763
133,0,0,0.016786256704150015
134,1,1,0.9997171147806462
135,1,1,0.9992026937990993
136,0,0,0.016020326379995793
137,0,0,0.009947263421188452
138,0,0,0.010863462227200638
139,1,1,0.9975411560969899
140,0,0,0.007410851098536371
141,0,0,0.011997501823139361
142,0,0,0.008210481683443075
143,0,0,0.008050671071939401
144,0,0,0.008008935976461032
145,0,0,0.010156894181305907
146,0,0,0.008755521481022805
147,1,1,0.9912971644716512
148,0,0,0.009105920896782669
149,0,0,0.042232682005393395
150,0,0,0.009038888819292074
151,0,0,0.015243630663768363
152,0,0,0.007472819972449777
153,0,0,0.014885258541395373
154,0,0,0.010479241267612292
155,0,0,0.008712088381312122
